job_title,salary_usd,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,benefits_score,company_name
Robotics Engineer,103234,MI,FT,United Kingdom,S,Nigeria,50,"GCP, MLOps, Scala",Associate,4,Media,8.2,Machine Intelligence Group
AI Architect,76008,EN,CT,Germany,M,Hungary,50,"Tableau, Kubernetes, Data Visualization",PhD,0,Manufacturing,7.7,Future Systems
AI Software Engineer,218274,EX,PT,Japan,L,Japan,0,"GCP, Spark, Data Visualization",Bachelor,12,Healthcare,5.3,Cognitive Computing
Data Engineer,90321,MI,FL,Canada,S,Canada,50,"Python, Linux, GCP, Hadoop",Master,2,Consulting,9.8,Machine Intelligence Group
Autonomous Systems Engineer,88313,EN,CT,United States,M,United States,0,"PyTorch, TensorFlow, Azure, AWS",Associate,1,Telecommunications,7.1,DeepTech Ventures
Robotics Engineer,70337,EN,FT,Norway,S,Norway,100,"Hadoop, NLP, SQL, Scala",Associate,1,Healthcare,9.2,Machine Intelligence Group
Deep Learning Engineer,280599,EX,PT,Ireland,L,Ireland,0,"Linux, SQL, NLP, GCP",Master,16,Retail,7.5,DataVision Ltd
Data Analyst,91372,EN,FT,Ireland,L,Ireland,50,"Python, TensorFlow, PyTorch",Bachelor,0,Consulting,9.5,Predictive Systems
Machine Learning Engineer,70673,SE,FT,China,M,China,50,"Java, Kubernetes, Tableau",Master,7,Telecommunications,9.1,Quantum Computing Inc
AI Software Engineer,285891,EX,FT,Switzerland,S,Singapore,50,"Java, Python, MLOps, Linux, Azure",Master,16,Consulting,5.8,Neural Networks Co
AI Consultant,119095,MI,FT,Switzerland,M,Switzerland,0,"Data Visualization, Hadoop, GCP, Computer Vision, Azure",PhD,2,Telecommunications,8.9,Smart Analytics
AI Architect,148090,EX,PT,United States,S,United States,100,"Mathematics, MLOps, Data Visualization, TensorFlow",Associate,13,Media,8.1,Cognitive Computing
Principal Data Scientist,83754,EN,PT,Norway,L,United Kingdom,100,"Mathematics, Computer Vision, Git",Master,0,Finance,7.8,Cloud AI Solutions
Data Analyst,149410,EX,FT,Austria,M,Austria,50,"Kubernetes, PyTorch, MLOps",PhD,15,Automotive,9.2,AI Innovations
Principal Data Scientist,200686,EX,CT,Sweden,L,Sweden,0,"Tableau, Python, NLP, TensorFlow, Scala",Associate,16,Telecommunications,9.9,Predictive Systems
NLP Engineer,75004,EN,FT,United States,L,United States,50,"Computer Vision, Linux, Spark, Hadoop",Bachelor,1,Technology,8.5,Smart Analytics
AI Software Engineer,119141,MI,FL,Denmark,S,Denmark,50,"Scala, Python, Deep Learning, Azure, Linux",Bachelor,2,Manufacturing,8.7,Neural Networks Co
NLP Engineer,116788,SE,FL,France,M,France,50,"R, Kubernetes, Computer Vision, Hadoop, Docker",Associate,5,Education,9.7,Quantum Computing Inc
Research Scientist,280852,EX,CT,Switzerland,L,Switzerland,0,"Git, Scala, Tableau, Linux, Statistics",Master,15,Transportation,9.8,Digital Transformation LLC
Machine Learning Researcher,90783,MI,PT,France,L,France,100,"R, Scala, NLP",Associate,4,Retail,9.1,Neural Networks Co
Data Engineer,168460,EX,FT,South Korea,S,Argentina,100,"Docker, Hadoop, Git, PyTorch, Deep Learning",Bachelor,14,Real Estate,8.4,Smart Analytics
Machine Learning Researcher,50803,EN,PT,France,S,France,0,"TensorFlow, Git, Statistics, SQL",Master,0,Finance,9.3,Cloud AI Solutions
ML Ops Engineer,105016,MI,CT,Switzerland,M,Switzerland,100,"Scala, Mathematics, SQL",Master,3,Retail,6.2,Cognitive Computing
Data Analyst,60676,EN,FL,France,M,Singapore,0,"Computer Vision, GCP, Python, Spark, TensorFlow",Bachelor,0,Education,8.3,Quantum Computing Inc
AI Specialist,191783,EX,FT,Singapore,S,Singapore,100,"Java, GCP, PyTorch",PhD,14,Healthcare,5.6,Advanced Robotics
Principal Data Scientist,104957,MI,PT,United Kingdom,M,United Kingdom,0,"Computer Vision, PyTorch, SQL",PhD,3,Manufacturing,7.2,Algorithmic Solutions
Principal Data Scientist,204455,EX,CT,Denmark,S,Denmark,50,"Java, Python, Data Visualization, Kubernetes",Associate,16,Gaming,5.5,Autonomous Tech
AI Research Scientist,52076,EN,PT,Austria,M,Ireland,50,"Statistics, TensorFlow, SQL, MLOps",Bachelor,0,Technology,8.7,Future Systems
ML Ops Engineer,186827,EX,FT,Israel,S,Israel,0,"Java, TensorFlow, NLP, Mathematics, PyTorch",Associate,14,Retail,6.1,Machine Intelligence Group
Data Engineer,60503,EN,FT,Ireland,M,Ireland,50,"Java, Statistics, Computer Vision, R, SQL",PhD,1,Transportation,9.1,DataVision Ltd
Machine Learning Researcher,161960,EX,CT,Austria,M,Austria,0,"Docker, Java, MLOps",PhD,14,Telecommunications,9.2,Future Systems
NLP Engineer,62398,MI,FT,Israel,S,Israel,0,"AWS, Linux, Deep Learning, R",Bachelor,2,Gaming,9.2,Predictive Systems
ML Ops Engineer,66798,MI,PT,Germany,S,Kenya,0,"NLP, SQL, PyTorch, Java, Computer Vision",Associate,4,Technology,5.5,AI Innovations
NLP Engineer,116529,MI,FT,Sweden,L,Sweden,50,"SQL, MLOps, Computer Vision, Data Visualization",Bachelor,2,Gaming,6.1,Algorithmic Solutions
Machine Learning Researcher,79608,MI,FL,South Korea,S,South Korea,100,"GCP, Linux, NLP, Data Visualization, Mathematics",Associate,2,Finance,8.0,Neural Networks Co
Computer Vision Engineer,100484,MI,FL,Canada,L,Canada,50,"Java, Hadoop, PyTorch, AWS, TensorFlow",PhD,3,Consulting,6.1,DeepTech Ventures
Data Engineer,95552,EN,FT,United States,L,United States,0,"Python, Computer Vision, Scala, TensorFlow, Git",Master,1,Media,5.8,Cloud AI Solutions
Machine Learning Researcher,112418,MI,PT,Singapore,M,Singapore,0,"Linux, R, Hadoop, Statistics, MLOps",Associate,4,Consulting,9.9,AI Innovations
AI Research Scientist,28315,MI,CT,India,S,India,0,"AWS, Scala, R, Git",Bachelor,3,Transportation,6.6,Algorithmic Solutions
NLP Engineer,68314,EN,FL,Austria,S,Austria,50,"SQL, Linux, Computer Vision, Scala",Bachelor,0,Consulting,9.8,Future Systems
AI Product Manager,162371,EX,FT,United Kingdom,S,United Kingdom,0,"TensorFlow, Azure, PyTorch",Associate,13,Consulting,9.6,Smart Analytics
Data Engineer,132746,SE,CT,Singapore,M,Sweden,100,"Python, NLP, TensorFlow, PyTorch, Git",PhD,6,Technology,7.7,Neural Networks Co
AI Software Engineer,85966,EN,FT,Singapore,L,Singapore,100,"Hadoop, Docker, Data Visualization, Python",Associate,0,Education,9.4,DataVision Ltd
AI Research Scientist,85342,EN,FL,Netherlands,L,Netherlands,50,"Java, SQL, Spark",Associate,1,Energy,6.7,TechCorp Inc
NLP Engineer,216215,EX,CT,Japan,L,Japan,100,"NLP, Hadoop, Kubernetes",Bachelor,19,Retail,8.0,Predictive Systems
ML Ops Engineer,61232,SE,PT,China,L,Australia,100,"Spark, Azure, Computer Vision",Master,8,Education,7.3,Autonomous Tech
Research Scientist,150822,SE,FT,Netherlands,L,Netherlands,50,"Kubernetes, Scala, MLOps, Mathematics, Statistics",Master,7,Government,8.5,Machine Intelligence Group
AI Product Manager,45513,MI,FL,China,S,China,50,"GCP, Spark, PyTorch, MLOps",PhD,2,Education,9.9,Machine Intelligence Group
AI Product Manager,147934,SE,FL,Sweden,L,Finland,50,"R, SQL, PyTorch, Hadoop, Mathematics",Associate,5,Retail,8.7,Digital Transformation LLC
Research Scientist,66543,EN,CT,Sweden,L,Sweden,50,"Data Visualization, Spark, TensorFlow, Java",Master,1,Education,5.9,Cloud AI Solutions
ML Ops Engineer,115925,SE,FL,Austria,L,Russia,100,"Python, TensorFlow, Mathematics, PyTorch, Spark",Bachelor,8,Consulting,9.3,Future Systems
Research Scientist,155977,SE,CT,Australia,L,Australia,50,"Azure, Mathematics, Data Visualization",PhD,7,Real Estate,9.6,AI Innovations
AI Research Scientist,205223,EX,FT,Australia,S,Egypt,50,"Deep Learning, Kubernetes, Computer Vision, Hadoop, Data Visualization",Master,15,Transportation,5.5,Advanced Robotics
AI Product Manager,114455,SE,PT,Japan,S,Russia,50,"GCP, Data Visualization, Scala, PyTorch",Associate,5,Gaming,9.0,Quantum Computing Inc
Autonomous Systems Engineer,103319,MI,CT,Netherlands,M,Spain,50,"Kubernetes, Tableau, Java, Computer Vision",Associate,2,Gaming,6.7,Machine Intelligence Group
Machine Learning Researcher,231123,EX,FT,Japan,L,Japan,50,"NLP, R, SQL, Tableau",Bachelor,13,Consulting,6.8,DeepTech Ventures
AI Product Manager,130136,EX,CT,Canada,M,Canada,50,"SQL, PyTorch, TensorFlow, Computer Vision, Hadoop",PhD,11,Consulting,6.3,DeepTech Ventures
Machine Learning Researcher,176800,SE,FL,Norway,M,Austria,100,"Linux, NLP, Scala, Java",Bachelor,6,Manufacturing,8.2,Cognitive Computing
Deep Learning Engineer,101122,MI,CT,Sweden,M,Sweden,0,"Git, Kubernetes, SQL",PhD,3,Automotive,7.0,DeepTech Ventures
Machine Learning Engineer,73036,MI,CT,France,S,France,0,"Python, MLOps, Tableau",PhD,2,Technology,9.2,AI Innovations
AI Consultant,134825,MI,FL,Switzerland,L,Argentina,50,"PyTorch, Computer Vision, TensorFlow",Master,4,Gaming,7.2,Machine Intelligence Group
Data Engineer,149481,SE,CT,Denmark,S,Indonesia,0,"MLOps, Tableau, Hadoop, SQL, R",Master,7,Automotive,5.9,DataVision Ltd
AI Research Scientist,76034,MI,PT,Austria,S,Austria,0,"R, Computer Vision, Python, Kubernetes, MLOps",Bachelor,3,Manufacturing,8.0,Future Systems
Computer Vision Engineer,137416,SE,FT,South Korea,L,Colombia,50,"SQL, Python, MLOps",PhD,9,Telecommunications,8.8,Machine Intelligence Group
Principal Data Scientist,90479,MI,PT,France,M,Ireland,100,"Docker, R, MLOps, Kubernetes",Associate,4,Telecommunications,9.7,Future Systems
Head of AI,122631,MI,FL,United Kingdom,L,United Kingdom,0,"Statistics, SQL, Deep Learning, MLOps",Associate,3,Healthcare,7.5,AI Innovations
Robotics Engineer,195168,EX,PT,Germany,S,Spain,50,"Python, Docker, AWS",Master,11,Government,8.2,Advanced Robotics
Machine Learning Researcher,96000,EN,CT,Norway,M,Norway,50,"Scala, Deep Learning, Computer Vision, GCP, Git",Bachelor,0,Retail,8.0,Advanced Robotics
Data Analyst,159779,EX,CT,Germany,L,Portugal,50,"Azure, Python, Docker, Hadoop, Linux",PhD,12,Government,7.5,Digital Transformation LLC
AI Architect,231935,EX,PT,United Kingdom,S,United Kingdom,0,"Scala, Spark, R",Bachelor,11,Retail,8.6,Neural Networks Co
AI Consultant,282892,EX,FL,Ireland,L,Israel,100,"Scala, Java, Kubernetes",Master,14,Real Estate,9.5,TechCorp Inc
Computer Vision Engineer,121156,SE,PT,Finland,M,United States,100,"Mathematics, GCP, MLOps, Docker",Associate,7,Technology,5.6,Machine Intelligence Group
AI Research Scientist,295447,EX,FL,Japan,L,Japan,50,"Spark, Linux, Statistics, PyTorch",Master,13,Finance,5.6,Neural Networks Co
Deep Learning Engineer,202205,EX,FT,Israel,L,Israel,0,"PyTorch, Spark, Python",PhD,14,Energy,8.6,Advanced Robotics
Data Scientist,86669,MI,FT,Netherlands,M,Netherlands,0,"Docker, Hadoop, MLOps, Git",Bachelor,3,Finance,9.1,Digital Transformation LLC
Data Scientist,145202,SE,FT,Israel,L,Poland,0,"Spark, AWS, Deep Learning",Bachelor,6,Gaming,5.0,Autonomous Tech
Machine Learning Engineer,133001,MI,FL,Denmark,M,Denmark,100,"Git, Linux, Python",Master,3,Healthcare,7.5,Advanced Robotics
Machine Learning Engineer,96703,MI,FT,Japan,S,Japan,100,"Azure, Java, GCP, TensorFlow, MLOps",Associate,2,Healthcare,8.5,Cloud AI Solutions
NLP Engineer,160586,SE,FL,Ireland,L,Portugal,0,"Git, AWS, Mathematics",Master,7,Transportation,6.9,Smart Analytics
Data Engineer,125048,SE,FL,Canada,M,Canada,0,"Python, Java, Docker",Master,8,Media,7.3,DeepTech Ventures
Data Scientist,124786,SE,FL,Japan,M,Japan,0,"NLP, AWS, Data Visualization, MLOps",Bachelor,7,Education,8.3,Algorithmic Solutions
Robotics Engineer,68649,EN,FL,United Kingdom,S,Austria,0,"Hadoop, Git, Spark, PyTorch, Linux",PhD,1,Finance,9.7,AI Innovations
Autonomous Systems Engineer,153066,SE,CT,Netherlands,L,Netherlands,0,"Docker, Computer Vision, Azure, Tableau",Associate,7,Education,7.4,Smart Analytics
ML Ops Engineer,102463,MI,CT,Singapore,S,Singapore,100,"MLOps, Statistics, Scala, Data Visualization",Associate,2,Healthcare,7.2,Neural Networks Co
Computer Vision Engineer,194385,EX,FL,United Kingdom,S,Poland,50,"Python, Tableau, AWS, Azure",Bachelor,14,Transportation,8.8,Autonomous Tech
Research Scientist,98339,SE,CT,Austria,M,Austria,0,"PyTorch, R, TensorFlow",Associate,5,Retail,5.7,Neural Networks Co
Deep Learning Engineer,65381,EN,FT,Singapore,L,Singapore,50,"Linux, R, Docker, Python",Bachelor,0,Education,6.9,TechCorp Inc
Head of AI,154006,EX,CT,Germany,M,Germany,100,"TensorFlow, Hadoop, AWS, SQL",PhD,12,Energy,7.7,Advanced Robotics
AI Specialist,176564,EX,FT,United Kingdom,M,Egypt,0,"Azure, Kubernetes, Linux, SQL",PhD,11,Finance,7.3,Predictive Systems
